ID|USER|TARGET|MENTION|POLARITY|INFO|MESSAGE|TAGGED
"211570584591663105"|luisapbastos|"team"|"7184"|1|"; sentiTokens:acreditar(1) ; score:1;;;"|"RT @Joanaqv: orgulho #portugal . Acreditar até ao fim. #Euro2012"|"RT @Joanaqv: orgulho #portugal . Acreditar até ao fim. #Euro2012"
"211566610522177536"|Joanaqv|"team"|"7184"|1|"; sentiTokens:acreditar(1) ; score:1;;;"|"orgulho #portugal . Acreditar até ao fim. #Euro2012"|"orgulho #portugal . Acreditar até ao fim. #Euro2012"
"211566554750529536"|kesland|"team"|"7194"|-1|"; sentiTokens:; score:0;;;Heavy Punctuation: ?! ;Negative Interjection: ?! ;"|"#Ukraine organization: stadiums aren't finished, slaughtering animals,  fans stuck in border, stealing coffee machines?! WTF?! #EURO2012"|"#Ukraine organization: stadiums aren't finished, slaughtering animals,  fans stuck in border, stealing coffee machines?! WTF?! #EURO2012"
"211564539353907200"|contrafactos|"team"|"7184"|0|"; sentiTokens:ganho(0) ; score:0;;;"|"RT @iphil: Se o jogo tivesse começado 1-0, tínhamos ganho? #Portugal #GERxPOR #Euro2012"|"RT @iphil: Se o jogo tivesse começado 1-0, tínhamos ganho? #Portugal #GERxPOR #Euro2012"
"211563700006559744"|iPhil|"team"|"7184"|-1|"; sentiTokens:louco(-1) ; score:-1;;;"|"Vou fazer louco e dizer…que tal não jogar com pontas de lança, tipo sei lá…Barcelona? #Portugal #GERxPOR #Euro2012"|"Vou fazer louco e dizer…que tal não jogar com pontas de lança, tipo sei lá…Barcelona? #Portugal #GERxPOR #Euro2012"
"211563162317750272"|iPhil|"team"|"7184"|0|"; sentiTokens:veloso(0) ; score:0;;;"|"E insisto, o Custódio tem que ser titular, no lugar do Veloso. #Portugal #GERxPOR #Euro2012"|"E insisto, o Custódio tem que ser titular, no lugar do Veloso. #Portugal #GERxPOR #Euro2012"
"211563033074470913"|NelaLFernandes|"team"|"7184"|-1|"; sentiTokens:mal(-1) enorme(0) ; score:-1;;;"|"RT @jimbras: Nelson Oliveira entrou tarde demais. Varela entrou mal demais. Fábio Coentrão foi enorme. #EURO2012 #UEFAEuro2012 #Portugal"|"RT @jimbras: Nelson Oliveira entrou tarde demais. Varela entrou mal demais. Fábio Coentrão foi enorme. #EURO2012 #UEFAEuro2012 #Portugal"
"211562683932213249"|Jo4nito|"team"|"7184"|-1|"; sentiTokens:mal(-1) enorme(0) ; score:-1;;;"|"RT @jimbras: Nelson Oliveira entrou tarde demais. Varela entrou mal demais. Fábio Coentrão foi enorme. #EURO2012 #UEFAEuro2012 #Portugal"|"RT @jimbras: Nelson Oliveira entrou tarde demais. Varela entrou mal demais. Fábio Coentrão foi enorme. #EURO2012 #UEFAEuro2012 #Portugal"
"211562594782294016"|brunuM|"team"|"7184"|-1|"; sentiTokens:mal(-1) enorme(0) ; score:-1;;;"|"RT @jimbras: Nelson Oliveira entrou tarde demais. Varela entrou mal demais. Fábio Coentrão foi enorme. #EURO2012 #UEFAEuro2012 #Portugal"|"RT @jimbras: Nelson Oliveira entrou tarde demais. Varela entrou mal demais. Fábio Coentrão foi enorme. #EURO2012 #UEFAEuro2012 #Portugal"
"211562381057331200"|VArede15|"team"|"7184"|-1|"; sentiTokens:criticar(-1) ; score:-1;;;"|"Portanto, é agora que vão criticar o @Cristiano Ronaldo, por #Portugal ter passado 75 minutos de jogo num sistema defensivo? #Euro2012"|"Portanto, é agora que vão criticar o @Cristiano Ronaldo, por #Portugal ter passado 75 minutos de jogo num sistema defensivo? #Euro2012"
"211562154871111682"|rcatalao|"player"|"198"|1|"; sentiTokens:libertar(1) melhor(0) bem(1) ; score:2;;;"|"Cristiano #Ronaldo foi quase sempre bem vigiado pela defesa alemã. Mas o Ronaldo-melhor-jogador-da-Europa tem de se libertar disso #Euro2012"|"Cristiano #Ronaldo foi quase sempre bem vigiado pela defesa alemã. Mas o Ronaldo-melhor-jogador-da-Europa tem de se libertar disso #Euro2012"
"211562154871111682"|rcatalao|"player"|"198"|1|"; sentiTokens:libertar(1) melhor(0) bem(1) ; score:2;;;"|"Cristiano #Ronaldo foi quase sempre bem vigiado pela defesa alemã. Mas o Ronaldo-melhor-jogador-da-Europa tem de se libertar disso #Euro2012"|"Cristiano #Ronaldo foi quase sempre bem vigiado pela defesa alemã. Mas o Ronaldo-melhor-jogador-da-Europa tem de se libertar disso #Euro2012"
"211561843343372288"|jimbras|"team"|"7184"|-1|"; sentiTokens:mal(-1) enorme(0) ; score:-1;;;"|"Nelson Oliveira entrou tarde demais. Varela entrou mal demais. Fábio Coentrão foi enorme. #EURO2012 #UEFAEuro2012 #Portugal"|"Nelson Oliveira entrou tarde demais. Varela entrou mal demais. Fábio Coentrão foi enorme. #EURO2012 #UEFAEuro2012 #Portugal"
"211561579366449152"|joanaislourenco|"team"|"7184"|-1|"; sentiTokens:azar(-1) errado(-1) ; score:-2;;;"|"RT @MiiClara: E do árbitro, já agora RT @andreviana: #Euro2012 #portugal Fala-se de sorte e azar. Já estamos no caminho errado"|"RT @MiiClara: E do árbitro, já agora RT @andreviana: #Euro2012 #portugal Fala-se de sorte e azar. Já estamos no caminho errado"
"211561432507088896"|bernardolx|"team"|"7184"|0|"; sentiTokens:boa(1) mau(-1) ; score:0;;;"|"Mau começo para #Portugal no #Euro2012, que nos próximos jogos tenham mais garra.. e boa emissão da @rtppt na RTP1 HD"|"Mau começo para #Portugal no #Euro2012, que nos próximos jogos tenham mais garra.. e boa emissão da @rtppt na RTP1 HD"
"211561416870739968"|sophieecore|"team"|"7184"|-1|"; sentiTokens:azar(-1) errado(-1) ; score:-2;;;"|"RT @MiiClara: E do árbitro, já agora RT @andreviana: #Euro2012 #portugal Fala-se de sorte e azar. Já estamos no caminho errado"|"RT @MiiClara: E do árbitro, já agora RT @andreviana: #Euro2012 #portugal Fala-se de sorte e azar. Já estamos no caminho errado"
"211561370230079490"|MiiClara|"team"|"7184"|-1|"; sentiTokens:azar(-1) errado(-1) ; score:-2;;;"|"E do árbitro, já agora RT @andreviana: #Euro2012 #portugal Fala-se de sorte e azar. Já estamos no caminho errado"|"E do árbitro, já agora RT @andreviana: #Euro2012 #portugal Fala-se de sorte e azar. Já estamos no caminho errado"
"211561287451287552"|barreleiro|"team"|"7184"|-1|"; sentiTokens:perde(-1) temiam(0) prostitutas(-1) ; score:-2;;;"|"É disto q as ucranianas e polacas temiam: #Portugal perde e agora vinga-se nas prostitutas locais. #Euro2012"|"É disto q as ucranianas e polacas temiam: #Portugal perde e agora vinga-se nas prostitutas locais. #Euro2012"
"211561179171143680"|JoGuedez|"team"|"7184"|-1|"; sentiTokens:azar(-1) errado(-1) ; score:-2;;;"|"RT @andreviana: #Euro2012 #portugal Fala-se de sorte e azar. Já estamos no caminho errado"|"RT @andreviana: #Euro2012 #portugal Fala-se de sorte e azar. Já estamos no caminho errado"
"211561177782829056"|acidadebranca|"team"|"7184"|-1|"; sentiTokens:problema(-1) ; score:-1;;;"|"#PORTUGAL #euro2012 o problema de Portugal é não haver coordenação..."|"#PORTUGAL #euro2012 o problema de Portugal é não haver coordenação..."
"211561088393814016"|rcatalao|"team"|"7184"|0|"; sentiTokens:melhor(0) ganhou(0) ; score:0;;;"|"O meio-campo de #Portugal ganhou com a passagem de Nani para o meio, atrás do ponta-de-lança. Funcionou melhor desta vez. #Euro2012"|"O meio-campo de #Portugal ganhou com a passagem de Nani para o meio, atrás do ponta-de-lança. Funcionou melhor desta vez. #Euro2012"
"211561070442196992"|andreviana|"team"|"7184"|-1|"; sentiTokens:azar(-1) errado(-1) ; score:-2;;;"|"#Euro2012 #portugal Fala-se de sorte e azar. Já estamos no caminho errado"|"#Euro2012 #portugal Fala-se de sorte e azar. Já estamos no caminho errado"
"211561046501105664"|acidadebranca|"team"|"7184"|-1|"; sentiTokens:azar(-1) descoordenação(-1) ; score:-2;;;"|"#PORTUGAL #euro2012 mas qual azar... foi descoordenação total..."|"#PORTUGAL #euro2012 mas qual azar... foi descoordenação total..."
"211561004264468482"|B_Sousa_rally|"team"|"7184"|0|"; sentiTokens:vitoria(1) ; score:1;;;Negative Interjection: !!! ;"|"Este jogo era nosso!!! A Alemanha não mereceu a vitoria!!! #POR #Portugal #EURO2012 #Eurocup"|"Este jogo era nosso!!! A Alemanha não mereceu a vitoria!!! #POR #Portugal #EURO2012 #Eurocup"
"211560782465466370"|iPhil|"team"|"7184"|1|"; sentiTokens:são(1) falhou(-1) golo(1) ; score:1;;;"|"Lá está, Pepe a explicar pq falhou no golo da Alemanha. São os detalhes a definir um resultado. #Portugal #GERxPOR #Euro2012"|"Lá está, Pepe a explicar pq falhou no golo da Alemanha. São os detalhes a definir um resultado. #Portugal #GERxPOR #Euro2012"
"211560612197707776"|acidadebranca|"team"|"7184"|0|"; sentiTokens:ganhar(0) ; score:0;;;"|"#PORTUGAL #euro2012 ainda podemos ganhar aos vikings e aos laranjas..."|"#PORTUGAL #euro2012 ainda podemos ganhar aos vikings e aos laranjas..."
"211560463014690816"|Riitzi|"team"|"7184"|1|"; sentiTokens:justo(1) bem(1) ; score:2;;;;Regra "[NEG] [VCOP] [Adj+] ? Neg"->  nao foi justo "|"Opa nao foi justo :c eu acho que estivemos muito bem. #Portugal #Euro2012"|"Opa nao foi justo :c eu acho que estivemos muito bem. #Portugal #Euro2012"
"211560452952571905"|acidadebranca|"team"|"7184"|1|"; sentiTokens:bons(1) ; score:1;;;"|"#PORTUGAL #euro2012 Se o objectivo fosse acertar na barra teríamos 2-0... somos muita bons a acertar na barra."|"#PORTUGAL #euro2012 Se o objectivo fosse acertar na barra teríamos 2-0... somos muita bons a acertar na barra."
"211560441611173888"|t3mujin|"team"|"7184"|0|"; sentiTokens:ganho(0) ; score:0;;;"|"RT @iPhil: Se o jogo tivesse começado 1-0, tínhamos ganho? #Portugal #GERxPOR #Euro2012"|"RT @iPhil: Se o jogo tivesse começado 1-0, tínhamos ganho? #Portugal #GERxPOR #Euro2012"
"211560230042079233"|acidadebranca|"team"|"7184"|0|"; sentiTokens:ganhou(0) ; score:0;;;"|"#PORTUGAL #euro2012 A Racionalidade Merkeliana ganhou."|"#PORTUGAL #euro2012 A Racionalidade Merkeliana ganhou."
"211560227936534528"|iPhil|"team"|"7184"|0|"; sentiTokens:ganho(0) ; score:0;;;"|"Se o jogo tivesse começado 1-0, tínhamos ganho? #Portugal #GERxPOR #Euro2012"|"Se o jogo tivesse começado 1-0, tínhamos ganho? #Portugal #GERxPOR #Euro2012"
"211560004279484417"|joaoffm|"team"|"7184"|1|"; sentiTokens:gostava(1) ; score:1;;;"|"RT @iPhil: RT @pmnribeiro: Gostava que a selecção quisesse marcar enquanto ainda está 0-0. #Portugal #GERxPOR #Euro2012"|"RT @iPhil: RT @pmnribeiro: Gostava que a selecção quisesse marcar enquanto ainda está 0-0. #Portugal #GERxPOR #Euro2012"
"211559697772331008"|joaopapin|"team"|"7184"|-1|"; sentiTokens:game(-1) ; score:-1;;;"|"congratulations for #GER , a lot of luck, let's focus on the next game now, Go #portugal #euro2012"|"congratulations for #GER , a lot of luck, let's focus on the next game now, Go #portugal #euro2012"
"211559666021445632"|m_lucas|"team"|"7184"|-1|"; sentiTokens:ganhar o jogo(1) ; score:1;;;Smiley:  :( ;Negative Interjection: á! ;"|"pois :( RT @Madril: Começar a querer ganhar o jogo depois de levar o primeiro não dá! #Portugal #GERxPOR #Euro2012"|"pois :( RT @Madril: Começar a querer ganhar o jogo depois de levar o primeiro não dá! #Portugal #GERxPOR #Euro2012"
"211559533179441152"|JoanaMorais94|"team"|"7184"|-1|"; sentiTokens:perder(-1) doudos(-1) ; score:-2;;;"|"RT @RuiPSOliveira: Agora que estão a perder jogam como doudos. #Euro2012 #Portugal"|"RT @RuiPSOliveira: Agora que estão a perder jogam como doudos. #Euro2012 #Portugal"
