ID|USER|TARGET|MENTION|POLARITY|INFO|MESSAGE|TAGGED
"66578793858482200"|Teste|"ppcoelho"|"passos coelho"|0|"; sentiTokens:melhor(0) ; score:0;"|"Eleitores consideram Sócrates melhor líder que Passos Coelho - Portugal - DN http://t.co/UfFK2QI"|"eleitores consideram sócrates melhor líder que passos_coelho - portugal - dn http://t.co/uffk2qi"
"66592936950898700"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:; score:0;"|"Oiço Sócrates e relembro recortes dos discursos de Mussolini"|"oiço sócrates e relembro recortes dos discursos de mussolini"
"66594469935452200"|Teste|"jsousa"|"jerónimo sousa"|0|"; sentiTokens:disponível(0) jerónimo(0) ; score:0;"|"Também não tem nenhuma disponível que funcione. RT @Rui_Castro: #debate jerónimo sousa não faz nem quer fazer parte da solução"|"também não tem nenhuma disponível que funcione. rt @rui_castro: #debate jerónimo sousa não faz nem quer fazer parte da solução"
"66594521969991700"|Teste|"pportas"|"paulo portas"|1|"; sentiTokens:dedicação(1) ; score:1;"|"A dedicação de Paulo Portas à agricultura... todas as manhãs lá o vejo eu de enxada aos ombros."|"a dedicação de paulo_portas à agricultura... todas as manhãs lá o vejo eu de enxada aos ombros."
"66594919292219400"|Teste|"pportas"|"paulo portas"|1|"; sentiTokens:dedicação(1) ; score:1;"|":) RT @bossito: A dedicação de Paulo Portas à agricultura... todas as manhãs lá o vejo eu de enxada aos ombros."|":) rt @bossito: a dedicação de paulo_portas à agricultura... todas as manhãs lá o vejo eu de enxada aos ombros."
"66595106655961100"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:; score:0;"|"Contradições de Sócrates seriam um tiro no pé se ele fosse Passos Coelho"|"contradições de sócrates seriam um tiro no pé se ele fosse passos_coelho"
"66595592993910800"|Teste|"pportas"|"portas"|0|"; sentiTokens:; score:0;"|"«Se eu conseguir ser PM»? Ó Portas, nem tu acreditas nisso..."|"«se eu conseguir ser pm»? Ó portas, nem tu acreditas nisso..."
"66595641211629600"|Teste|"pportas"|"portas"|0|"; sentiTokens:; score:0;"|"Oh Yeah! É só + 1 :( @ConJunTuraL emPlastro Portas outra vez na televisão!"|"oh yeah! É só + 1 :( @conjuntural emplastro portas outra vez na televisão!"
"66596074856525800"|Teste|"jsocrates"|"sócrates"|1|";Regra "[VCOP] [Adj+] ? Pos""->  foi capaz "|"@bossito o Sócrates consegue ser pior, foi capaz de fazer uma declaração ao país a anunciar o q não estava no acordo da Troika"|"@bossito o sócrates consegue ser pior, foi capaz de fazer uma declaração ao país a anunciar o q não estava no acordo da troika"
"66596753851428900"|Teste|"pportas"|"portas"|0|"; sentiTokens:; score:0;"|"#Debate Portas foge a dizer se pretende ser primeiro-ministro. Mas já o tinha «dito»."|"#debate portas foge a dizer se pretende ser primeiro-ministro. mas já o tinha «dito»."
"66597324536807400"|Teste|"pportas"|"portas"|1|"; sentiTokens:lógica(1) jerónimo(0) sensatez(1) ; score:2;"|"Haja sensatez RT @x_coimbra #debate Portas e Jerónimo presos numa lógica nacional. como se a crise fosse de raíz nacional...."|"haja sensatez rt @x_coimbra #debate portas e jerónimo presos numa lógica nacional. como se a crise fosse de raíz nacional...."
"66598876055994400"|Teste|"pportas"|"portas"|0|"; sentiTokens:; score:0;"|"#debate esta parte do Portas estilo submarino: ao fundo"|"#debate esta parte do portas estilo submarino: ao fundo"
"66598896025088000"|Teste|"pportas"|"paulo portas"|0|"; sentiTokens:; score:0;"|"#debate Paulo Portas leva o filme atrás, até ao PREC. Ainda funciona, isto? Duvido..."|"#debate paulo_portas leva o filme atrás, até ao prec. ainda funciona, isto? duvido..."
"66599520720531500"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:; score:0;"|"@bytoke #debate sobre o futuro que sócrates nos roubou?"|"@bytoke #debate sobre o futuro que sócrates nos roubou?"
"66601723610923000"|Teste|"pportas"|"portas"|0|"; sentiTokens:noto(0) soberano(0) ; score:0;"|"Seguindo #debate plo twitterf noto o soberano populismo de Portas."|"seguindo #debate plo twitterf noto o soberano populismo de portas."
"66602233533444100"|Teste|"pportas"|"portas"|1|";Regra "[VCOP] [Adj+] ? Pos""->  é preciso "|"RT @x_coimbra: #debate nem quero acreditar que Portas se vai apoderar da bandeira da oposição às PPP... é preciso descaradamento."|"rt @x_coimbra: #debate nem quero acreditar que portas se vai apoderar da_bandeira da oposição às ppp... é preciso descaradamento."
"66602300042522600"|Teste|"jsousa"|"jerónimo de sousa"|0|"; sentiTokens:jerónimo(0) ; score:0;"|"RT @bytoke: Jerónimo de Sousa ainda não percebeu o papel q a banca desempenha na economia nacional. É uma pena. #debate"|"rt @bytoke: jerónimo de sousa ainda não percebeu o papel q a banca desempenha na economia nacional. É uma pena. #debate"
"66602433522053100"|Teste|"pportas"|"portas"|0|"; sentiTokens:; score:0;"|"RT @bytoke: Portas acha mesmo q nos combustíveis a liberalização vai trazer algum tipo de benefício ao consumidor? Grande #fail. #debate"|"rt @bytoke: portas acha mesmo q nos combustíveis a liberalização vai trazer algum tipo de benefício ao consumidor? grande #fail. #debate"
"66602455378575400"|Teste|"pportas"|"portas"|0|"; sentiTokens:igual(0) ; score:0;"|"#debate Portas continua igual a si próprio: o Rei do soundbyte..."|"#debate portas continua igual a si próprio: o rei do soundbyte..."
"66604054050111500"|Teste|"pportas"|"paulo portas"|0|"; sentiTokens:; score:0;"|"e domina as feiras! atenção! RT @mariomtteixeira: Mas Paulo Portas tem algum domínio na agricultura + portugue… (cont) http://deck.ly/~23SHP"|"e domina as feiras! atenção! rt @mariomtteixeira: mas paulo_portas tem algum domínio na agricultura + portugue… (cont) http://deck.ly/~23shp"
"66604297458163700"|Teste|"pportas"|"portas"|0|"; sentiTokens:comunistas(0) ; score:0;"|"@bossito Logo Portas, o homem que já disse que nunca estaria onde estivessem os comunistas. Topete!"|"@bossito logo portas, o homem que já disse que nunca estaria onde estivessem os comunistas. topete!"
"66604998447992800"|Teste|"pportas"|"paulo portas"|1|"; sentiTokens:fabuloso(1) ; score:1;"|"RT @Dputamadre: UAU ...O Paulo Portas não acredita em Sondagens! Ele lá bem sabe o que fazia nas Suas empresas de Sondagens! #Fabuloso # ..."|"rt @dputamadre: uau ...o paulo_portas não acredita em sondagens! ele lá bem sabe o que fazia nas suas empresas de sondagens! #fabuloso # ..."
"66606309272850400"|Teste|"pportas"|"paulo portas"|1|"; sentiTokens:notável(1) ; score:1;"|"Jerónimo vence debate: Apesar do esforço notável de Paulo Portas nos mais variados pontos há que reconhecer que ... http://bit.ly/iQi84s"|"jerónimo vence debate: apesar do esforço notável de paulo_portas nos mais variados pontos há que reconhecer que ... http://bit.ly/iqi84s"
"66608396455002100"|Teste|"pportas"|"portas"|1|"; sentiTokens:responsável(1) moderna(1) ; score:2;"|"O Portas não acredita em sondagens! Não era ele o responsável por aquela empresa das ditas... a 'Amostra', da Univ. Moderna?..."|"o portas não acredita em sondagens! não era ele o responsável por aquela empresa das ditas... a 'amostra', da univ. moderna?..."
"66615721458806800"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:; score:0;"|"Alguém avise Sócrates que o PS está atrás do PSD na maior parte das sondagens. Quem o ouve falar parece que está vários pontos acima."|"alguém avise sócrates que o ps está atrás do psd na maior parte das sondagens. quem o ouve falar parece que está vários pontos acima."
"66621367109431300"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:; score:0;"|"@manuelparreira Foi a Grécia, a Irlanda...a seguir a Espanha, a Itália, a Bélgica...sabes como é o efeito Sócrates?"|"@manuelparreira foi a grécia, a irlanda...a seguir a espanha, a itália, a bélgica...sabes como é o efeito sócrates?"
"66622452398174200"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:; score:0;"|"O que Sócrates fez ao país não tem perdão - Pedro Passos Coelho http://j.mp/lWm4to"|"o que sócrates fez ao país não tem perdão - pedro_passos_coelho http://j.mp/lwm4to"
"66624714847690800"|Teste|"ppcoelho"|"ppc"|0|"; sentiTokens:; score:0;"|"Q estás a ver? @mariomtteixeira PPC não faz o raio da mínima ideia do que diz."|"q estás a ver? @mariomtteixeira ppc não faz o raio da mínima ideia do que diz."
"66624843025621000"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:; score:0;"|"RT @amsguimaraes: RT @nunonsantos: O que Sócrates fez ao país não tem perdão - Pedro Passos Coelho http://j.mp/lWm4to"|"rt @amsguimaraes: rt @nunonsantos: o que sócrates fez ao país não tem perdão - pedro_passos_coelho http://j.mp/lwm4to"
"66625016359428100"|Teste|"jsocrates"|"jose socrates"|0|"; sentiTokens:; score:0;"|"Por favor, não... dêem-nos descanso @FernandaFreitas Jose Socrates na RTP."|"por favor, não... dêem-nos descanso @fernandafreitas jose_socrates na rtp."
"66625123167383600"|Teste|"ppcoelho"|"ppc"|1|"; sentiTokens:competente(1) sério(0) ; score:1;"|"Ai não vai não! RT @Pedro_Duarte: Grande grande intervenção de PPC em Sta. Maria Feira! O País vai voltar a ter um PM sério e competente"|"ai não vai não! rt @pedro_duarte: grande grande intervenção de ppc em sta. maria feira! o país vai voltar a ter um pm sério e competente"
"66625174912499700"|Teste|"ppcoelho"|"ppc"|0|"; sentiTokens:; score:0;"|"RT @mariomtteixeira: PPC não faz o raio da mínima ideia do que diz."|"rt @mariomtteixeira: ppc não faz o raio da mínima ideia do que diz."
"66627156834390000"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:política(0) ; score:0;"|"estou aqui a ouvir o Sócrates falar de política e da vida política... Coitadinho pá, n tem vida própria. E falar do país e do q fez de mal?"|"estou aqui a ouvir o sócrates falar de política e da vida política... coitadinho pá, n tem vida própria. e falar do país e do q fez de mal?"
"66627839348310000"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:política(0) ; score:0;"|"O curso,... RT @cgloureiro: Sócrates admite sair da política. Diz que tem coisas para fazer ou acabar."|"o curso,... rt @cgloureiro: sócrates admite sair da política. diz que tem coisas para fazer ou acabar."
"66628434469732400"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:política(0) ; score:0;"|"RT @filipelib RT @manuelparreira O curso,... RT @cgloureiro: Sócrates admite sair da política. Diz que tem coisas para fazer ou acabar."|"rt @filipelib rt @manuelparreira o curso,... rt @cgloureiro: sócrates admite sair da política. diz que tem coisas para fazer ou acabar."
"66628676682391600"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:política(0) ; score:0;"|"O curso? RT @cgloureiro: Sócrates admite sair da política. Diz que tem coisas para fazer ou acabar."|"o curso? rt @cgloureiro: sócrates admite sair da política. diz que tem coisas para fazer ou acabar."
"66629942762422300"|Teste|"ppcoelho"|"pedro passos coelho"|0|"; sentiTokens:; score:0;"|"Se isso significa q a única alternativa a este governo é o PSD, tamos MÊMO mal! @CeuLavos @Amsguimaraes Pedro Passos Coelho a dizer que..."|"se isso significa q a única alternativa a este governo é o psd, tamos mÊmo mal! @ceulavos @amsguimaraes pedro_passos_coelho a dizer que..."
"66630432107667500"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:política(0) ; score:0;"|"RT @joaomiranda: O curso? RT @cgloureiro: Sócrates admite sair da política. Diz que tem coisas para fazer ou acabar."|"rt @joaomiranda: o curso? rt @cgloureiro: sócrates admite sair da política. diz que tem coisas para fazer ou acabar."
"66630919066370100"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:política(0) ; score:0;"|"RT @helderlib: Projectos de casas na Covilhã? RT @cgloureiro: Sócrates admite sair da política. Diz que tem coisas para fazer ou acabar."|"rt @helderlib: projectos de casas na covilhã? rt @cgloureiro: sócrates admite sair da política. diz que tem coisas para fazer ou acabar."
"66631199782748200"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:política(0) ; score:0;"|"RT @joaomiranda: O curso? RT @cgloureiro: Sócrates admite sair da política. Diz que tem coisas para fazer ou acabar."|"rt @joaomiranda: o curso? rt @cgloureiro: sócrates admite sair da política. diz que tem coisas para fazer ou acabar."
"66636427500322800"|Teste|"ppcoelho"|"passos coelho"|1|"; sentiTokens:gloriosa(1) ; score:1;"|"@joaomiranda @manuelparreira @pauloquerido 868 anos de uma história gloriosa e o Passos Coelho rebenta com tudo em 15 dias."|"@joaomiranda @manuelparreira @pauloquerido 868 anos de uma história gloriosa e o passos_coelho rebenta com tudo em 15 dias."
"66637503674855400"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:; score:0;"|"RT @filipelib: @manuelparreira Sócrates em 6 não conseguiu corrigir caminho suicidário de antecessores. Vamos dar-lhe mais 4 anos."|"rt @filipelib: @manuelparreira sócrates em 6 não conseguiu corrigir caminho suicidário de antecessores. vamos dar-lhe mais 4 anos."
"66638756970639400"|Teste|"jsocrates"|"socrates"|0|"; sentiTokens:serio(0) finlandeses(0) ; score:0;"|"Querem impressionar os finlandeses? Nao votem no Socrates! Se Socrates vencer, ninguém mais no mundo nos leva a serio!"|"querem impressionar os finlandeses? nao votem no socrates! se socrates vencer, ninguém mais no mundo nos leva a serio!"
"66638795377868800"|Teste|"jsocrates"|"socrates"|0|"; sentiTokens:serio(0) finlandeses(0) ; score:0;"|"RT @kamponez: Querem impressionar os finlandeses? Nao votem no Socrates! Se Socrates vencer, ninguém mais no mundo nos leva a serio!"|"rt @kamponez: querem impressionar os finlandeses? nao votem no socrates! se socrates vencer, ninguém mais no mundo nos leva a serio!"
"66639252162748400"|Teste|"jsocrates"|"socrates"|0|"; sentiTokens:serio(0) finlandeses(0) ; score:0;"|"RT @kamponez: Querem impressionar os finlandeses? Nao votem no Socrates! Se Socrates vencer, ninguém mais no mundo nos leva a serio!"|"rt @kamponez: querem impressionar os finlandeses? nao votem no socrates! se socrates vencer, ninguém mais no mundo nos leva a serio!"
"66641720137359400"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:conversa(0) ; score:0;"|"@tiagopresley isso é conversa do Sócrates. Realmente os próximos 3 anos (futuro) é o presente, é Portugal a parar no tempo."|"@tiagopresley isso é conversa do sócrates. realmente os próximos 3 anos (futuro) é o presente, é portugal a parar no tempo."
"66645431089770500"|Teste|"ppcoelho"|"ppc"|1|";Regra "[VCOP] [Adj+] ? Pos""->  é bom "|"e o PPC q nem para adjunto alguma vez serviu  RT @joaomiranda @G_L Sócrates é bom para governar nos anos de pico do ciclo económico..."|"e o ppc q nem para adjunto alguma vez serviu  rt @joaomiranda @g_l sócrates é bom para governar nos anos de pico do ciclo económico..."
"66646612935577600"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:caro(0) simples(0) ; score:0;"|"E sócrates não é alternativa. Essa é a grande branca. RT @G_L: @helderlib Meu caro, não há alternativa a Sócrates. É simples."|"e sócrates não é alternativa. essa é a grande branca. rt @g_l: @helderlib meu caro, não há alternativa a sócrates. É simples."
"66652187589222400"|Teste|"pportas"|"paulo portas"|0|"; sentiTokens:melhor(0) ; score:0;"|"#5meianoite melhor que um Paulo Portas só dois Paulo Portas aiiiiiiii..."|"#5meianoite melhor que um paulo_portas só dois paulo_portas aiiiiiiii..."
"66652696203112400"|Teste|"pportas"|"paulo portas"|0|"; sentiTokens:; score:0;"|"Não consigo gostar do Paulo Portas."|"não consigo gostar do paulo_portas."
"66653046465245200"|Teste|"pportas"|"paulo portas"|0|"; sentiTokens:; score:0;"|"#5meianoite Paulo Portas compreende... já fez o mesmo no tempo do Cavaco."|"#5meianoite paulo_portas compreende... já fez o mesmo no tempo do cavaco."
"66654918290849800"|Teste|"pportas"|"paulo portas"|1|"; sentiTokens:gostoso(1) ; score:1;"|"Aposto que, todos os dias antes de sair de casa, o Paulo Portas morde o lábio em frente ao espelho e exclama Sou tão gostoso!"|"aposto que, todos os dias antes de sair de casa, o paulo_portas morde o lábio em frente ao espelho e exclama sou tão gostoso!"
"66657497624227800"|Teste|"pportas"|"paulo portas"|1|"; sentiTokens:verdade(1) ; score:1;"|"#apombalivre: e como esperava o 5 para a meia noite na presença do paulo portas abandalhou. a cada um a sua verdade )"|"#apombalivre: e como esperava o 5 para a meia noite na presença do paulo_portas abandalhou. a cada um a sua verdade )"
"66669739170209800"|Teste|"ppcoelho"|"ppc"|0|"; sentiTokens:; score:0;"|"@bytoke Este consecutivo adiamento. Já viste q PPC anda há meses a dizer q é p amanhã o programa ou as propostas?"|"@bytoke este consecutivo adiamento. já viste q ppc anda há meses a dizer q é p amanhã o programa ou as propostas?"
"66670564789588000"|Teste|"ppcoelho"|"ppc"|0|"; sentiTokens:nota(0) ; score:0;"|"@bytoke PPC é um flop. A noite das facas longas já deve ter começado...nota-se pelos comentários diversos..."|"@bytoke ppc é um flop. a noite das facas longas já deve ter começado...nota-se pelos comentários diversos..."
"66749628762177500"|Teste|"pportas"|"portas"|1|"; sentiTokens:convincente(1) esquerda(0) ; score:1;"|"QUEM o conhece... não o compra CERTAMENTE//CONVINCENTE (?) Portas conseguiu ser de esquerda? - Sol http://t.co/RYHr0O4 via @AddThis"|"quem o conhece... não o compra certamente//convincente (?) portas conseguiu ser de esquerda? - sol http://t.co/ryhr0o4 via @addthis"
"66829751511289900"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:fiscais(0) ultraliberais(0) ; score:0;"|"com SÓCRATES... mesmo com trancos//barrancos -- &gt PORTUGAL avança//c´os ULTRALIBERAIS//KAPITAIS  GRANA descansa em PARAÍSOS fiscais (?) né"|"com sÓcrates... mesmo com trancos//barrancos -- &gt portugal avança//c´os ultraliberais//kapitais  grana descansa em paraÍsos fiscais (?) né"
"66831233807691800"|Teste|"flouca"|"francisco louçã"|0|"; sentiTokens:; score:0;"|"As palavras que saem da boca de Francisco Louçã todas juntas não fazem sentido nenhum."|"as palavras que saem da boca de francisco louçã todas juntas não fazem sentido nenhum."
"66832600081248300"|Teste|"flouca"|"louçã"|0|"; sentiTokens:reformada(0) ; score:0;"|"este exemplo d louçã sobre 'a reformada' foi 1 mimo.portanto fez as contas a qq reforma p concluir q em 14 meses perderá 1 devido a aumentos"|"este exemplo d louçã sobre 'a reformada' foi 1 mimo.portanto fez as contas a qq reforma p concluir q em 14 meses perderá 1 devido a aumentos"
"66833195227815900"|Teste|"flouca"|"louçã"|0|"; sentiTokens:; score:0;"|"Eu votaria em Louçã se só o ouvisse 20 segundos em cada 3 minutos."|"eu votaria em louçã se só o ouvisse 20 segundos em cada 3 minutos."
"66835750972436500"|Teste|"flouca"|"louçã"|0|"; sentiTokens:politico(0) ; score:0;"|"@manuelparreira não gosto do Louçã, mas este discurso trouxe questões importantes q deviam estar no centro do debate politico"|"@manuelparreira não gosto do louçã, mas este discurso trouxe questões importantes q deviam estar no centro do debate politico"
"66835841351286800"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:; score:0;"|"Finalmente Passos Coelho com tomates a dizer que Sócrates não tem perdão e que não governa com ele. Custou."|"finalmente passos_coelho com tomates a dizer que sócrates não tem perdão e que não governa com ele. custou."
"66841680086700000"|Teste|"flouca"|"louçã"|0|"; sentiTokens:rápido(1) bancarrota(-1) ; score:0;"|"Mas se fosse PM ainda chegaríamos + rápido RT @manuelparreira: Pode dizer-se tudo sobre Louçã mas não foi ele que levou o país à bancarrota."|"mas se fosse pm ainda chegaríamos + rápido rt @manuelparreira: pode dizer-se tudo sobre louçã mas não foi ele que levou o país à bancarrota."
"66846454421012500"|Teste|"jsocrates"|"sócrates"|0|"; sentiTokens:; score:0;"|"“@gonun13: Finalmente Passos Coelho com tomates a dizer que Sócrates não tem perdão e que não governa com ele. Custou.” sondagens milagres"|"“@gonun13: finalmente passos_coelho com tomates a dizer que sócrates não tem perdão e que não governa com ele. custou.” sondagens milagres"
"66847424500604900"|Teste|"pportas"|"portas"|0|"; sentiTokens:; score:0;"|"e se o portas for outra vez ministro da defesa e mandar aviar mais 2 submarinos faxavor, a gente vai deixar?"|"e se o portas for outra vez ministro da defesa e mandar aviar mais 2 submarinos faxavor, a gente vai deixar?"
