DATE|ID|USER|TARGET|MENTION|POLARITY|INFO|MESSAGE|TAGGED
2012-09-08 12:48:56|"244417033842876417"|269384965|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"RT @boloposte: Alguém diga ao Passos Coelho que o #PrayForPortugal só tem graça uma vez."|"RT @boloposte: Alguém diga ao Passos Coelho que o #PrayForPortugal só tem graça uma vez."
2012-09-08 13:13:05|"244423110261092352"|41178206|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"Toni reage à conferência de Passos Coelho: http://t.co/7Z06M2uu via @youtube"|"Toni reage à conferência de Passos Coelho: http://t.co/7Z06M2uu via @youtube"
2012-09-08 13:24:52|"244426076183478272"|17601785|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"Isn‘t it called “Passos Coelho“? RT @jeffwiedner RT @scienceshare: shrimp that vomits light, other glowing creatures http://t.co/7GOKjC6A"|"Isn‘t it called “Passos Coelho“? RT @jeffwiedner RT @scienceshare: shrimp that vomits light, other glowing creatures http://t.co/7GOKjC6A"
2012-09-08 13:24:02|"244425868162789376"|131986705|"ppcoelho"|"ppc"|0|"Targets: ppc"|"3 Must-Have PPC Strategies For 2012 http://t.co/iioFgYyR"|"3 Must-Have PPC Strategies For 2012 http://t.co/iioFgYyR"
2012-09-08 13:48:10|"244431938323107841"|45828069|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"Mais austeridade: Conheça as principais medidas anunciadas por Passos Coelho: Saiba quais as principais medidas ... http://t.co/iqgWjyAs"|"Mais austeridade: Conheça as principais medidas anunciadas por Passos Coelho: Saiba quais as principais medidas ... http://t.co/iqgWjyAs"
2012-09-08 13:48:18|"244431973509120000"|145972890|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"Toni reage à conferência de Passos Coelho: http://t.co/gukZhunP via @youtube"|"Toni reage à conferência de Passos Coelho: http://t.co/gukZhunP via @youtube"
2012-09-08 14:36:44|"244444163544846337"|77826352|"ppcoelho"|"ppc"|0|"Targets: ppc"|"RT @mal_disposto: (PPC tenta sabotar inicio da Festa do Avante fazendo comunicação ao país. Povo responde acorrendo em massa à festa nos ..."|"RT @mal_disposto: (PPC tenta sabotar inicio da Festa do Avante fazendo comunicação ao país. Povo responde acorrendo em massa à festa nos ..."
2012-09-08 14:40:51|"244445198241918976"|47634105|"ppcoelho"|"passos coelho"|1|"Targets: passos coelho;Smiley:  XD"|"Seria bestial se o facebook apagasse a página do Passos Coelho xD"|"Seria bestial se o facebook apagasse a página do Passos Coelho xD"
2012-09-08 14:39:34|"244444877180530688"|47634105|"ppcoelho"|"passos coelho"|1|"Targets: passos coelho;Smiley:  XD"|"No facebook anda toda a gente a denunciar como imprópria a página oficial do Passos Coelho xD"|"No facebook anda toda a gente a denunciar como imprópria a página oficial do Passos Coelho xD"
2012-09-08 14:54:24|"244448609700040704"|12565812|"ppcoelho"|"ppc"|0|"Targets: ppc"|"RT @nmpedrosa: Impacto das medidas extraordinárias para criacao de emprego de PPC em minha casa - dispensar empregada de limpeza! Parabé ..."|"RT @nmpedrosa: Impacto das medidas extraordinárias para criacao de emprego de PPC em minha casa - dispensar empregada de limpeza! Parabé ..."
2012-09-08 15:14:19|"244453621159309312"|36116587|"ppcoelho"|"passos coelho"|1|"Targets: passos coelho;Regra "[VCOP] [Adj+] ? Pos"->  será honrada."|"Estou disposto a largar um mês d'ordenado p poder pregar um banano no focinho dos Passos Coelho. Infelizmente só a minha parte será honrada."|"Estou disposto a largar um mês d'ordenado p poder pregar um banano no focinho dos Passos Coelho. Infelizmente só a minha parte será honrada."
2012-09-08 02:29:36|"244261172092760064"|563093420|"ppcoelho"|"ppc"|0|"Targets: ppc"|"@jneves salário mínimo _líquido_ baixa 7,87%. Mas o PPC falou em crédito fiscal para compensar."|"@jneves salário mínimo _líquido_ baixa 7,87%. Mas o PPC falou em crédito fiscal para compensar."
2012-09-08 00:29:43|"244231003147755520"|418640024|"ppcoelho"|"pedro passos coelho"|0|"Targets: pedro passos coelho"|"Pedro Passos Coelho sacrifica trabalhadores e beneficia empresas \ Global News http://t.co/jZlGHCHc"|"Pedro Passos Coelho sacrifica trabalhadores e beneficia empresas \ Global News http://t.co/jZlGHCHc"
2012-09-08 00:05:59|"244225031582912513"|16290016|"ppcoelho"|"ppc"|0|"Targets: ppc"|"Infelizmente Portugal tem estado a arder... mas hoje o PPC queimou o pouco que restava!"|"Infelizmente Portugal tem estado a arder... mas hoje o PPC queimou o pouco que restava!"
2012-09-08 00:18:14|"244228112886403075"|59812246|"ppcoelho"|"ppc"|0|"Targets: ppc"|"O PPC  já vendeu o carro dos 140 mil euros? ....... Quem paga o gasóil? Manut? uhm?"|"O PPC  já vendeu o carro dos 140 mil euros? ....... Quem paga o gasóil? Manut? uhm?"
2012-09-08 05:07:18|"244300860514000897"|77478217|"ppcoelho"|"pedro passos coelho"|0|"Targets: pedro passos coelho"|"As novas medidas de austeridade: Saiba o que vai mudar depois do discurso do Primeiro Minístro Pedro Passos Coelho.  http://t.co/rx9dCdEH"|"As novas medidas de austeridade: Saiba o que vai mudar depois do discurso do Primeiro Minístro Pedro Passos Coelho.  http://t.co/rx9dCdEH"
2012-09-08 07:57:05|"244343587049979904"|14660710|"ppcoelho"|"ppc"|0|"Targets: ppc"|"RT @jneves: custos de trabalho, descem 4,65% - salário líquido desce 7,87% para o mesmo salário bruto #contasfeitas #ppc"|"RT @jneves: custos de trabalho, descem 4,65% - salário líquido desce 7,87% para o mesmo salário bruto #contasfeitas #ppc"
2012-09-08 08:45:44|"244355830659563520"|132867997|"ppcoelho"|"ppc"|0|"Targets: ppc"|"RT @um_diletante: Esta imagem faz-me lembrar o PPC #Portugal http://t.co/36XkGbKe"|"RT @um_diletante: Esta imagem faz-me lembrar o PPC #Portugal http://t.co/36XkGbKe"
