AVALIANDO -&gt	 rejeitando artistas" d milhares d MILHÕES -&gt
já dei conta “@camandro: Os debates sem o Louçã não têm tanta piada! RT @ajsborges: O Passos está a safar-se”	
Sócrates acusa PSD de querer pôr os cidadãos a pagar mais pelo SNS  http://j.mp/joKVW4  E os recibos verdes? O Sócrates já os lixou e bem!	
RT @AldaTelles: Sócrates esteve seguro como expectável. PPC melhor que o expectável. Sócrates poupou PPC. PP… (cont) http://deck.ly/~6yFRE	
Discordo, da grande fatia, do povo que acredita que Sócrates é caloteiro, a verdade é que pagou e bem pelo seu curso	
Jerónimo hoje mais agerrido. Mas ainda longe de Sócrates. #debate	
Essa dos gráficos viciados já não pega ó @passoscoelho... O Portas já tinha tentado essa. Entrada a pés juntos do Louçã, sem falta	
LOL RT: @ChicodeOeiras Golo!!!!!!!!! é de Louçã! Goooooooooooooooooo(...)olo RT @fcancio: olha o momento da madeira.	
Li e Gostei: Sócrates não perde -     Ainda ontem escrevia aqui que o PS e José Sócrates são imbatíveis. Isto pelo m... http://ow.ly/1cNcvj	
Entre tanta merda, ainda consigo dizer que o ti #Sócrates é o indicado. #e2011pt #debate #ps	
a direita PSD ficou ressabiada com Paulo Portas	
DRAMA: Portas é melhor que Coelho. HORROR: Clara de Sousa segurou a vela.	
E de súbito Portas parece o mais ponderado, o mais experiente, o mais confiável !  @pfigas: @horacioazevedo	
Foi impressão minha ou ontem o Dr. Paulo Portas deu uma coça ao Dr. Passos Coelho? #debate	
N foi impressão,aquilo foi mm goleada RT @dtcnunes:Foi impressão minha ou ontem o Dr. Paulo Portas deu 1a coça ao Dr. Passos Coelho? #debate	
one can only hope RT“@joaomiranda: Portanto, Portas tirou mais uns votos ao PSD e reforçou a liderança de Sócrates, foi isso?”	
Passos Coelho vs Paulo Portas = Sócrates Win!	
portas foi hábil a salientar as debilidades d @passoscoelho. este ñ conseguiu entalar portas em nada, q m lembre.	
#debate Sócrates esteve melhor que Jerónimo e melhor que nos outros debates. Ainda assim, Jerónimo não se deixou «calcar»	
#debate Sócrates usa teleponto no minuto final? Se não usa parece. Profissional (analiso apenas a forma e n o conteudo)	
As Novas Oportunidades mais não fizeram que credenciar a ignorância". Numa única frase, Passos Coelho, humilhou o... http://fb.me/Wh5sgzfq"	
boa saida jeronimo........	
Jose Socrates dà mais uma lição aos gajos da oposição...ai ai ai q ele vainser PM de novo...	
Jose Sócrates sem se esforçar muito consegue ganhar o debate. Pelo menos ate agora.	
O jeronimo nao se safa frente ao socrates :/ vira ao disco e toca o mesmo...	
Qdo o Jeronimo responder como pagaria as nacionalizações que aponta no programa avisem, ok? Quando Socrates joga ao ataque dá baile. #debate	
RT @bombinte: Portas tão bem sobre as palermices que dizem dele que até faz impressão.	
@martins_ana tens uma cena com as NO, que te levou a dizer que o louçã goleou. havemos de falar disso no gtalk, agora vou pro Glorioso.	
#debate Louçã melhor agora a atacar Passos e líder do PSD perdido	
#debate o louçã esteve bem em desmascarar parte da situação da Madeira, aqui o PPC vai ao charco	
#louçã vai dar cabo de #ppc e ao seu mau #economês	
Concordo! Gravata do Louçã foi mt bem escolhida. Combina, criteriosamente, com camisa	
Depois da desanda de Paulo Portas e do massacre de Louçã, Passos Coelho vai ter de ir buscar indecisos ao eleitorado do PNR	
E agora, com o tributo solidário", Louçã dá um uppercut a Passos."	
E na SICN e na RTPN... RT @fcancio: o debate em q louçã passou @passoscoelho a ferro tá d novo a passar na tvi 24	
José Sócrates diz sempre a verdade http://wp.me/p2jQx-7yw	
Levar baile do Louçã é quase tão mau como ser eliminado pelo Braga nas meias da Liga Europa... Shame on You Passos Coelho!	
Lido no #FB... O Socrates tem razão!! O Mal do país é mesmo a agricultura! Excesso de Nabos! Falta de Tomates! E muito Grelo ao abandono!""	
Minha mãe do céu, Louçã é muito bom.	
No debate Passos-Louçã: Louçã é um homem evidentemente inteligente. É um homem bem versado em matérias económica... http://bit.ly/jxdn4W	
o debate em q louçã passou @passoscoelho a ferro tá d novo a passar na tvi 24	
o passos coelho foi devastado pelo louçã	
O Sócrates não deixa o sub-consciente do homem RT @BMRibeiro: Louçã partiu Passos Coelho todo com a Madeira… (cont) http://deck.ly/~rU0Jg	
